,Timestamp,Id,SequenceId,SequenceSet,VectorGazeX,VectorGazeY,VectorGazeZ,GazeX,GazeY
4367,638345128471440422,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
4368,638345128472482010,1451.0,1.0,1.0,0.004388437,-0.08318425,0.9965246,3016.4566392777488,1915.9212484955788
4369,638345128472925470,1451.0,1.0,1.0,0.0084159,-0.098157,0.9951354,3031.5596256405115,1990.7850176095965
4370,638345128473682579,1451.0,1.0,1.0,0.02047531,-0.07364549,0.9970742,3076.782410033047,1868.2274371385572
4371,638345128474149677,1451.0,1.0,1.0,0.03547879,-0.06667981,0.9971435,3133.045460097492,1833.3990648388865
4372,638345128474645850,1451.0,1.0,1.0,0.0399278,-0.06527014,0.9970685,3149.7292472049594,1826.3507038354876
4373,638345128475188574,1451.0,1.0,1.0,-0.04021707,-0.1050756,0.9936507,2849.1859808564186,2025.377988815308
4374,638345128476244040,1451.0,1.0,1.0,-0.1064468,-0.1372481,0.9848005,2600.8244901895523,2186.240494251251
4375,638345128477272157,1451.0,1.0,1.0,-0.0877169,-0.1358439,0.9868395,2671.0616257041693,2179.219514131546
4376,638345128477787289,1451.0,1.0,1.0,-0.08065787,-0.1276113,0.9885392,2697.5329890847206,2138.0564719438557
4377,638345128478350920,1451.0,1.0,1.0,-0.07439503,-0.1261265,0.9892207,2721.018634736538,2130.6324899196625
4378,638345128479394122,1451.0,1.0,1.0,0.1036458,-0.141438,0.9845065,3388.6717557907104,2207.1900367736816
4379,638345128480434704,1451.0,1.0,1.0,0.1243242,-0.1263694,0.9841617,3466.2157595157623,2131.847009062767
4380,638345128480949771,1451.0,1.0,1.0,0.1092378,-0.137351,0.9844804,3409.6417408436537,2186.755031347275
4381,638345128481514198,1451.0,1.0,1.0,0.1056688,-0.1387632,0.984672,3396.2579928338528,2193.816021084785
4382,638345128482192694,1451.0,1.0,1.0,0.1099454,-0.1353107,0.9846842,3412.2952558100224,2176.5534728765488
4383,638345128482675936,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
4384,638345128483192412,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
4385,638345128483695223,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
4386,638345128484212523,1451.0,1.0,1.0,-0.3112168,-0.02997238,0.9498662,1832.9369947314265,1649.8619001358747
4387,638345128484941904,1451.0,1.0,1.0,-0.2810188,-0.03824719,0.9589398,1946.1795240640645,1691.235952079296
4388,638345128485999467,1451.0,1.0,1.0,-0.2712789,-0.04370508,0.961508,1982.704170048237,1718.5253985226154
4389,638345128486494977,1451.0,1.0,1.0,-0.2505133,-0.0863172,0.9642575,2060.575179755688,1931.5859824419024
4390,638345128487002057,1451.0,1.0,1.0,-0.1855207,-0.1551804,0.9703098,2304.297398775816,2275.901973247528
4391,638345128487496966,1451.0,1.0,1.0,-0.1996214,-0.1596747,0.9667758,2251.419771462679,2298.373520374298
4392,638345128488002327,1451.0,1.0,1.0,-0.1983814,-0.1638184,0.9663376,2256.0697719454765,2319.092020392418
4393,638345128488496482,1451.0,1.0,1.0,-0.1925862,-0.1729235,0.9659234,2277.8017558157444,2364.6175265312195
4394,638345128489007109,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
4395,638345128492422846,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
4396,638345128492463037,1451.0,1.0,1.0,-0.1754629,-0.1620486,0.9710577,2342.014119029045,2310.2429658174515
4397,638345128493110478,1451.0,1.0,1.0,-0.09003979,-0.1283742,0.98763,2662.350788712501,2141.8710201978683
4398,638345128494208053,1451.0,1.0,1.0,0.1601484,-0.08507726,0.9834197,3600.5564890801907,1925.3863170742989
4399,638345128494705763,1451.0,1.0,1.0,0.121267,-0.09265418,0.9882862,3454.751243814826,1963.270917534828
